key,text
coverDesc,"一つの物語、一杯のスープ
あなたは始まりしか知らないが、結末は予想できない
想像という調味料を加えて、完全な味を取り戻そう……"
startBtn,推理を開始
reviewBtn,前回を振り返る
apikeyTitle,API Key設定
apikeyDesc,DeepSeek API Keyを入力して謎解きと質疑応答を駆動します。Keyはブラウザのローカルにのみ保存されます。
apiKeyLabel,DeepSeek API Key
apikeyPlaceholder,sk-...
modelLabel,モデル選択
apikeyNext,次へ：ゲーム設定
apikeySkip,スキップ（デモモードを使用）
backCover,表紙に戻る
configTitle,パズルをカスタマイズ
configDesc,ストーリーのスタイル、推理の種類、難易度を選択してください。これらをもとにエージェントが専用のスープの真相を生成します。
pageTitle,海龜湯 TurtleSoup
pageDescription,TurtleSoup 海龜湯
langLabel,インターフェース言語
menuLabel,メニュー
coverLogoAlt,海龜湯
coverSub,海龜湯
undiscoveredCluesPrefix,まだ発見していない手がかり：
menuToggleTitle,メニュー
menuToggleAria,メニューを開く
menuCloseAria,メニューを閉じる
themeLabel,テーマ切替
diffLabel,難易度
diffCustom,カスタムモード
diffNewb,入門
diffEasy,簡単
diffHard,エキスパート
diffHardcore,ハードコア
deathModeLabel,デスモード
deathModeHint,制限時間内に質問するタイムアタック
deathModeTooltip,"制限時間内に質問してください。
時間切れになると質問が禁止されます。"
deathExpired,💀 時間切れ！すべての質問回数がリセットされました。スープの真相を提出してください。
deathExpiredPH,時間切れ...
customDiffLabel,カスタム難易度
qlLabel,質問回数
tlLabel,テキスト長
honkakuLabel,本格推理
honkakuHint,論理的な整合性と現実的な制約を重視
styleLabel,ストーリースタイル
styleTooltip,お好みのストーリー内容やテーマをここでカスタマイズ
styleSuspense,サスペンス推理
styleHorror,ホラー
styleTerror,恐怖
styleComedy,コメディ
styleSupernatural,オカルト・ファンタジー
styleCrime,刑事サスペンス
styleXianxia,仙侠痛快アクション
styleRuleHorror,ルール怪談
customStylePH,カスタムスタイルをカンマ区切りで追加
toggleVisTitle,表示/非表示
randomConfigTitle,ランダム設定
generateBtn,謎を生成
backPrev,前のステップに戻る
remainingLabel,残り質問数
riddleLabel,📜 謎面
riddleWaiting,生成待機中...
progressLabel,推理進捗
askPlaceholder,質問を入力してください（一度に一つだけ）
askBtn,質問する
submitSoupBtn,スープの真相を提出
viewResultBtn,結果を見る
closeBtn,閉じる
exportBtn,JSONとしてエクスポート
replayBtn,もう一杯
modalTitle,スープの真相を提出
modalDesc,あなたが推理した物語の真実を入力してください。
soupPlaceholder,答えを入力して謎面を完成
modalSubmit,確認して提出
modalCancel,キャンセル
modalGiveup,ゲームを諦める
nokeyTitle,API Keyが未設定
nokeyDesc,API Keyが設定されていないため謎を生成できません。先にAPI Keyを設定してください。
nokeyGo,API Keyを設定しに行く
nokeyCancel,キャンセル
loadingTitle,シェフがレシピを考えています...（${seconds}秒経過）
loadingDesc,ストーリーを構想中...
