key,text
coverDesc,"A story, a bowl of soup.
You know the beginning, but never the ending.
Add a dash of imagination to savor the full flavor..."
startBtn,Start
reviewBtn,Review Last Game
apikeyTitle,Connect AI Engine
apikeyDesc,Enter your DeepSeek API Key to power puzzle generation and Q&A. The key is stored only in your browser.
apiKeyLabel,DeepSeek API Key
apikeyPlaceholder,sk-...
modelLabel,Model
apikeyNext,Next: Configure Game
apikeySkip,"Skip, use Demo Mode"
backCover,Back to Cover
configTitle,Customize Your Puzzle
configDesc,"Choose story style, reasoning type, and difficulty. Agent will generate a unique soup base."
pageTitle,TurtleSoup
pageDescription,TurtleSoup mystery soup game
langLabel,Language
menuLabel,Menu
coverLogoAlt,TurtleSoup
coverSub,Turtle Soup
undiscoveredCluesPrefix,Still undiscovered clues: 
menuToggleTitle,Menu
menuToggleAria,Open menu
menuCloseAria,Close menu
themeLabel,Theme
diffLabel,Difficulty
diffCustom,Custom
diffNewb,Newbie
diffEasy,Easy
diffHard,Hard
diffHardcore,Hardcore
deathModeLabel,Death Mode
deathModeHint,Timed challenge — fail on timeout
deathModeTooltip,"Ask questions within a limited time; 
timeout will disable further questions."
deathExpired,💀 Time's up! All questions cleared. Submit your answer.
deathExpiredPH,Time's up...
customDiffLabel,Custom Difficulty
qlLabel,Questions
tlLabel,Text Length
honkakuLabel,Honkaku Mystery
honkakuHint,Emphasizes logical closure and real-world constraints
styleLabel,Story Style
styleTooltip,Customize your preferred story content and themes here.
styleSuspense,Suspense
styleHorror,Horror
styleTerror,Terror
styleComedy,Comedy
styleSupernatural,Supernatural
styleCrime,Crime
styleXianxia,Xianxia
styleRuleHorror,Rule Horror
customStylePH,"Add custom styles, separated by commas"
toggleVisTitle,Show/Hide
randomConfigTitle,Randomize settings
generateBtn,Generate Mystery
backPrev,Back
remainingLabel,Remaining
riddleLabel,📜 Riddle
riddleWaiting,Waiting for generation...
progressLabel,Progress
askPlaceholder,Ask one question at a time...
askBtn,Ask
submitSoupBtn,Submit Soup
viewResultBtn,View Result
closeBtn,Close
exportBtn,Export JSON
replayBtn,One More Soup
modalTitle,Submit Soup
modalDesc,Enter the story truth you have deduced.
soupPlaceholder,Enter your soup guess ...
modalSubmit,Confirm
modalCancel,Cancel
modalGiveup,Give Up
nokeyTitle,No API Key
nokeyDesc,Cannot generate a mystery without an API Key. Please configure your API Key first.
nokeyGo,Configure API Key
nokeyCancel,Cancel
loadingTitle,The chef is thinking about the recipe... (${seconds}s elapsed)
loadingDesc,Crafting the story...
loadingProgress,Cooking in progress... (${count} characters completed)
loadingWord1,Adding ideas
loadingWord2,Enriching details
loadingWord3,Polishing plot
loadingWord4,Crafting puzzle
promptLanguageEnglish,English
promptLanguageChinese,Chinese
evaluatingTitle,Evaluating...
evaluatingDesc,Host is evaluating your soup guess. Please wait.
evaluatingProgress,Scoring in progress... (${count} characters analyzed)
